id,first_name,second_name,web_name,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,GW
87,Charlie,Taylor,Taylor,0,16,0,0,0,2,1,1,12,2.8,0,0,87,0,0,8,1,0,0,6.1,5.8,0,2018-08-12T12:30:00Z,12 Aug 13:30,0,0,72,3,0,16,0,0,0,0,3,0,1,0,24309,1,0,0,0,0,52,2,0,0,0,65,FALSE,0,0,1
88,Kevin,Long,Long,0,37,0,0,0,26,0,0,9,0,0,0,88,0,0,2,0,2,0,3.8,37.8,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,2,0,0,0,1,5,0,1,2,12072,0,0,0,0,2,0,6,0,0,0,45,FALSE,0,0,1
89,Ben,Gibson,Gibson,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,2,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6692,0,0,0,0,2,0,0,0,0,0,45,FALSE,0,0,1
90,Ashley,Barnes,Barnes,0,26,0,0,0,14,0,10,17,10.6,0,0,90,0,0,2,0,2,0,8,28.2,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,2,0,0,0,0,8,0,1,0,31111,0,0,0,0,2,41,1,0,0,0,50,FALSE,0,0,1
91,Chris,Wood,Wood,0,23,0,0,0,7,0,5,17,0.9,0,0,91,0,0,2,3,2,0,0.8,7.2,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,2,0,0,0,0,8,0,1,0,39138,2,1,0,0,2,0,1,0,0,0,45,FALSE,0,0,1
92,Matej,Vydra,Vydra,0,19,0,0,0,8,0,9,14,0.2,0,0,92,0,0,2,1,2,0,1.6,15.4,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,2,0,1,0,0,7,0,1,0,5192,0,0,0,0,2,0,1,0,0,0,45,FALSE,0,0,1
93,Nick,Pope,Pope,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,2,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,1,0,75947,0,0,0,0,2,0,0,0,0,0,40,FALSE,0,0,1
94,Tom,Heaton,Heaton,0,26,0,0,0,14,0,7,24,1.8,0,0,94,0,0,2,1,2,0,1.8,16.4,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,2,0,0,0,0,6,0,1,0,8863,0,2,0,0,2,0,1,0,0,0,45,FALSE,0,0,1
95,Joe,Hart,Hart,0,23,0,0,0,6,0,3,12,1,0,0,95,0,0,2,1,2,0,1.2,10.8,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,0,2,0,0,0,0,4,0,1,0,196285,0,1,0,0,2,0,0,0,0,0,40,FALSE,0,1,1
96,Johann Berg,Gudmundsson,Gudmundsson,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,2,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,1,0,47860,0,0,0,0,2,0,0,0,0,0,40,FALSE,0,0,1
97,Dwight,McNeil,McNeil,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,2,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1492,0,0,0,0,2,0,0,0,0,0,40,FALSE,0,0,1
98,Robbie,Brady,Brady,0,34,0,0,0,12,0,3,22,15.9,1,0,98,0,0,2,0,2,0,4,16.4,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,0,1,2,0,0,0,0,7,0,1,0,17494,0,0,0,0,2,8,2,0,0,0,50,FALSE,0,0,1
99,Steven,Defour,Defour,0,20,0,0,0,6,0,4,16,25.4,1,0,99,0,0,2,2,2,0,4.5,11.8,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,90,1,1,2,0,0,0,0,4,0,1,0,20590,3,0,0,0,2,8,2,0,0,0,55,FALSE,0,0,1
100,Jeff,Hendrick,Hendrick,0,15,0,0,0,4,0,2,8,0.9,0,0,100,0,0,2,0,1,0,1.8,3.6,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,62,0,0,2,0,0,0,0,4,0,1,0,3604,2,0,2,0,2,13,2,0,0,0,50,FALSE,0,0,1
101,Ashley,Westwood,Westwood,0,26,0,0,0,10,0,2,11,11.3,0,0,101,0,0,2,0,1,0,3.7,7.4,1,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,62,0,0,2,0,0,0,0,6,0,1,0,8529,0,0,0,0,2,18,2,0,0,0,55,FALSE,0,0,1
102,Jack,Cork,Cork,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,2,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,1,0,66660,0,0,0,0,2,0,0,0,0,0,45,FALSE,0,0,1
430,Aaron,Lennon,Lennon,0,63,0,0,0,14,0,2,58,0.5,0,0,430,0,0,10,0,2,0,1.5,14.6,0,2018-08-11T16:30:00Z,11 Aug 17:30,0,0,90,0,0,8,0,0,0,0,4,0,1,0,30913,0,0,0,2,2,0,1,0,0,0,45,TRUE,0,0,1
103,Marcos,Alonso,Alonso,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,2,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,1,0,11915,0,0,0,0,2,0,0,0,0,0,45,FALSE,0,0,1
104,Antonio,Rüdiger,Rüdiger,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,2,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3308,0,0,0,0,2,0,0,0,0,0,45,FALSE,0,0,1
105,César,Azpilicueta,Azpilicueta,0,6,0,0,0,3,0,0,2,1.1,0,0,105,0,0,2,0,1,0,0.1,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,28,0,0,2,0,0,0,0,0,0,1,0,15437,0,0,0,0,2,0,1,0,0,0,45,FALSE,0,0,1
106,David,Luiz Moreira Marinho,David Luiz,0,9,0,0,0,4,0,0,6,20.6,2,0,106,0,0,2,0,1,0,4.7,4.4,2,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,27,0,0,2,0,0,0,0,2,0,1,0,14017,2,0,1,0,2,22,1,0,0,0,50,FALSE,0,0,1
107,Emerson,Palmieri dos Santos,Emerson,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,2,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,1,0,36149,0,0,0,0,2,0,0,0,0,0,50,FALSE,0,0,1
108,Andreas,Christensen,Christensen,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,2,0,0,0,0,0,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,0,0,0,2,0,0,0,0,0,0,1,0,15508,0,0,0,0,2,0,0,0,0,0,45,FALSE,0,0,1
109,Davide,Zappacosta,Zappacosta,0,0,0,0,0,5,0,0,0,0,0,0,109,0,0,2,0,1,0,0.2,2,0,2018-08-11T14:00:00Z,11 Aug 15:00,0,0,2,0,0,2,0,0,0,0,0,0,1,0,51829,0,1,0,0,2,0,1,0,0,0,45,FALSE,0,0,1
