name,position,team,points,price
Gündogan,MID,Man City,65,5.5
Rodrigo,MID,Man City,92,5.5
Doyle,MID,Man City,1,4.5
Agüero,FWD,Man City,132,10.5
Jesus,FWD,Man City,146,9.5
de Gea,GKP,Man Utd,143,5.5
Henderson,GKP,Man Utd,160,5.5
Romero,GKP,Man Utd,0,5
Maguire,DEF,Man Utd,123,5.5
Wan-Bissaka,DEF,Man Utd,127,5.5
Smalling,DEF,Man Utd,0,5
Rojo,DEF,Man Utd,3,5
Jones,DEF,Man Utd,2,5
Shaw,DEF,Man Utd,67,5
Lindelöf,DEF,Man Utd,116,5
Bailly,DEF,Man Utd,9,5
Dalot,DEF,Man Utd,4,5
Tuanzebe,DEF,Man Utd,7,4.5
Fosu-Mensah,DEF,Man Utd,7,4.5
Williams,DEF,Man Utd,51,4.5
Mengi,DEF,Man Utd,0,4
Fernandes,MID,Man Utd,117,10.5
Rashford,MID,Man Utd,177,9.5
Pogba,MID,Man Utd,51,8
Greenwood,MID,Man Utd,103,7.5
James,MID,Man Utd,95,6.5
Mata,MID,Man Utd,38,6
Lingard,MID,Man Utd,32,6
Fred,MID,Man Utd,50,5.5
Matic,MID,Man Utd,55,5
Pereira,MID,Man Utd,60,5
McTominay,MID,Man Utd,74,5
Chong,MID,Man Utd,3,4.5
Garner,MID,Man Utd,1,4.5
Martial,FWD,Man Utd,200,9
Ighalo,FWD,Man Utd,11,6.5
Darlow,GKP,Newcastle,0,5
Dubravka,GKP,Newcastle,143,5
Fernández,DEF,Newcastle,102,5
Schär,DEF,Newcastle,55,5
Clark,DEF,Newcastle,49,4.5
Lejeune,DEF,Newcastle,24,4.5
Lascelles,DEF,Newcastle,73,4.5
Dummett,DEF,Newcastle,44,4.5
Manquillo,DEF,Newcastle,65,4.5
Krafth,DEF,Newcastle,37,4.5
Yedlin,DEF,Newcastle,26,4.5
Watts,DEF,Newcastle,1,4
Almirón,MID,Newcastle,109,6
Shelvey,MID,Newcastle,105,5.5
Atsu,MID,Newcastle,37,5.5
Saint-Maximin,MID,Newcastle,92,5.5
Ritchie,MID,Newcastle,74,5
Hayden,MID,Newcastle,73,5
Aarons,MID,Newcastle,0,5
Gayle,FWD,Newcastle,58,6
Joelinton,FWD,Newcastle,78,6
Carroll,FWD,Newcastle,34,5.5
Muto,FWD,Newcastle,9,5
Moore,GKP,Sheffield Utd,3,4.5
Foderingham,GKP,Sheffield Utd,0,4.5
Stevens,DEF,Sheffield Utd,142,5.5
Baldock,DEF,Sheffield Utd,142,5.5
Basham,DEF,Sheffield Utd,123,5
Egan,DEF,Sheffield Utd,133,5
O'Connell,DEF,Sheffield Utd,111,5
Jack Robinson,DEF,Sheffield Utd,14,4.5
Fleck,MID,Sheffield Utd,101,6
Lundstram,MID,Sheffield Utd,144,5.5
Norwood,MID,Sheffield Utd,98,5
Osborn,MID,Sheffield Utd,19,5
Berge,MID,Sheffield Utd,40,5
Sharp,FWD,Sheffield Utd,57,6
McBurnie,FWD,Sheffield Utd,86,6
Mousset,FWD,Sheffield Utd,84,6
McGoldrick,FWD,Sheffield Utd,65,5.5
Callum Robinson,FWD,Sheffield Utd,33,5.5
McCarthy,GKP,Southampton,104,4.5
Gunn,GKP,Southampton,29,4.5
Bertrand,DEF,Southampton,75,5
Stephens,DEF,Southampton,85,5
Valery,DEF,Southampton,18,5
Vestergaard,DEF,Southampton,51,4.5
Walker-Peters,DEF,Southampton,32,4.5
Bednarek,DEF,Southampton,84,4.5
Vokins,DEF,Southampton,2,4
Redmond,MID,Southampton,107,6.5
Ward-Prowse,MID,Southampton,117,6
Armstrong,MID,Southampton,98,5.5
Boufal,MID,Southampton,34,5.5
Djenepo,MID,Southampton,40,5.5
Oriol Romeu,MID,Southampton,51,4.5
Reed,MID,Southampton,0,4.5
Sims,MID,Southampton,0,4.5
Smallbone,MID,Southampton,24,4.5
Ings,FWD,Southampton,198,8.5
Adams,FWD,Southampton,78,6
Long,FWD,Southampton,62,5.5
Obafemi,FWD,Southampton,45,5
